Node	X_Displacement	Y_Displacement	Z_Displacement
0	0.0466681830585	-2.58323906176e-17	-0.0
1	0.0420567318797	-0.00737402169034	0.000329849019181
2	0.0372395291924	-0.0163857974112	0.00171536020935
3	0.0328694619238	-0.0261798109859	0.00333655299619
4	0.029266487807	-0.0357735268772	0.00488827703521
5	0.0265022739768	-0.0445849299431	0.00605696812272
6	0.0244539044797	-0.0521743297577	0.00682371342555
7	0.022957444191	-0.0583287663758	0.00720389233902
8	0.0218184124678	-0.0629896819592	0.00730564305559
9	0.0208868682384	-0.0662217736244	0.00722419889644
10	0.0200383514166	-0.0681649595499	0.00705221248791
11	0.0192020237446	-0.0689983889461	0.00685292156413
12	0.0183313917369	-0.0689141452312	0.00666725216433
13	0.0174144152552	-0.0680976361036	0.00651595694944
14	0.0164489056915	-0.0667190104723	0.00640477938578
15	0.015448496677	-0.0649265423417	0.00633185263723
16	0.0144265126437	-0.0628469586372	0.00628947187215
17	0.0134013528004	-0.0605849176645	0.00626958021894
18	0.0123870875686	-0.0582262128592	0.00626318529248
19	0.0113982707262	-0.0558392070234	0.00626343069598
20	0.0104446820915	-0.0534781254828	0.00626415386796
21	0.0095352018252	-0.0511847734451	0.0062614637427
22	0.00867485906929	-0.0489911027253	0.00625231396407
23	0.00786769855767	-0.0469206534326	0.00623532524332
24	0.00711507722735	-0.0449903719127	0.00620967661962
25	0.00641766842455	-0.0432116650045	0.00617556925863
26	0.00577444583178	-0.0415916591883	0.00613345671445
27	0.00518402224407	-0.0401339121163	0.00608433037996
28	0.00464403862134	-0.03883927688	0.00602922076359
29	0.00415202463046	-0.0377063788474	0.00596938282251
30	0.00370501843281	-0.0367321819067	0.00590599002317
31	0.00330011313781	-0.035912334919	0.00584026239812
32	0.00293420837261	-0.0352415181696	0.00577328167856
33	0.00260435952805	-0.0347137078643	0.00570608535782
34	0.00230760173872	-0.0343223847449	0.005639558658
35	0.00204117014073	-0.0340607203543	0.00557450437918
36	0.00180237798486	-0.0339217074215	0.00551158282906
37	0.00158874632325	-0.0338982865214	0.0054513621144
38	0.00139792379923	-0.0339834354818	0.0053942897357
39	0.00122775672935	-0.0341702513397	0.00534072797745
40	0.00107623438817	-0.0344519950449	0.0052909408696
41	0.000941526144743	-0.0348221436143	0.00524512305856
42	0.000821940950118	-0.0352744273841	0.00520339189097
43	0.000715946429409	-0.0358028486371	0.00516581209376
44	0.000622139603365	-0.0364016965032	0.00513239204884
45	0.000539252359886	-0.0370655730367	0.00510310055688
46	0.00046612994629	-0.0377893745899	0.00507786870003
47	0.000401732540922	-0.0385683141649	0.00505660055205
48	0.000345117063262	-0.039397906512	0.0050391741097
49	0.000295436911983	-0.0402739532292	0.00502545246854
50	0.000251926481724	-0.0411925576627	0.00501528382301
51	0.000213899445953	-0.0421501025558	0.00500850751996
52	0.000180737682967	-0.0431432314217	0.00500495545566
53	0.000151887652464	-0.0441688522696	0.00500445859507
54	0.000126852668473	-0.045224096626	0.0050068446435
55	0.000105188330053	-0.0463063493371	0.00501194410026
56	8.64967587404e-05	-0.0474131926894	0.00501958886161
57	7.04229678377e-05	-0.0485424213111	0.00502961594611
58	5.66496928514e-05	-0.0496920160949	0.00504186656326
59	4.48946884717e-05	-0.0508601143956	0.00505618751049
60	3.49062174791e-05	-0.0520450435579	0.00507243257016
61	2.64607460849e-05	-0.0532452650368	0.00509046204388
62	1.93596388272e-05	-0.0544593818486	0.00511014321819
63	1.34268739203e-05	-0.0556861273944	0.00513135036454
64	8.506620361e-06	-0.0569243393838	0.00515396473929
65	4.46114290753e-06	-0.0581729784608	0.00517787504941
66	1.16889032142e-06	-0.0594310946763	0.00520297698677
67	-1.4771288761e-06	-0.0606978237629	0.00522917229682
68	-3.5710006614e-06	-0.0619723983109	0.00525637017563
69	-5.19517698194e-06	-0.0632541030645	0.00528448587283
70	-6.4218593252e-06	-0.0645423009992	0.00531344022602
71	-7.31403861209e-06	-0.0658364146948	0.00534316105768
72	-7.92656555859e-06	-0.0671359226108	0.00537358038127
73	-8.30704084365e-06	-0.0684403553605	0.00540463579819
74	-8.49666048452e-06	-0.0697492808104	0.00543627049774
75	-8.5309447968e-06	-0.0710623115301	0.00546843139455
76	-8.44041642267e-06	-0.0723790898919	0.00550107005984
77	-8.25118331704e-06	-0.0736993104219	0.00553414179012
78	-7.98548262537e-06	-0.0750226899981	0.0055676070042
79	-7.66215907788e-06	-0.0763489380479	0.00560142705217
80	-7.29708199287e-06	-0.0776778385043	0.00563556840643
81	-6.90353135724e-06	-0.0790091827512	0.00567000126466
82	-6.49254297969e-06	-0.0803427472711	0.00570469582453
83	-6.07318634138e-06	-0.0816783830523	0.005739627406
84	-5.65286200072e-06	-0.0830158963799	0.00577477226034
85	-5.23750304637e-06	-0.0843551680446	0.00581010989845
86	-4.83181338495e-06	-0.0856960564852	0.0058456202969
87	-4.43943508799e-06	-0.0870384126902	0.00588128669187
88	-4.0631016418e-06	-0.0883821547031	0.00591709371656
89	-3.70480279344e-06	-0.0897271558642	0.00595302693546
90	-3.36587822858e-06	-0.0910733416677	0.00598907331005
91	-3.04715103994e-06	-0.0924206152558	0.00602522166446
92	-2.74900821751e-06	-0.0937688872218	0.00606146128848
93	-2.4714738629e-06	-0.0951180979609	0.00609778333455
94	-2.21429809244e-06	-0.0964681655169	0.00613417895511
95	-1.97699432647e-06	-0.097819045186	0.00617064163089
96	-1.75890977516e-06	-0.0991706773639	0.00620716344565
97	-1.55925852141e-06	-0.100522980094	0.0062437383458
98	-1.37715335313e-06	-0.101875945926	0.00628036167473
99	-1.2116504422e-06	-0.103229492903	0.00631702784449
100	-1.06175912151e-06	-0.104583606124	0.00635373359546
101	-9.26475649976e-07	-0.105938240886	0.00639047427103
102	-8.04794524356e-07	-0.107293337584	0.00642724568024
103	-6.95718995303e-07	-0.108648896217	0.00646404642612
104	-5.98280564645e-07	-0.110004857183	0.00650087185204
105	-5.11538360115e-07	-0.111361220479	0.00653772102669
106	-4.3459286303e-07	-0.112717948854	0.0065745911561
107	-3.66587130429e-07	-0.114074997604	0.00661147991195
108	-3.0670824458e-07	-0.115432374179	0.00664838589728
109	-2.54193992077e-07	-0.116790026426	0.00668530724943
110	-2.08328742701e-07	-0.118147961795	0.00672224303707
111	-1.68447542137e-07	-0.119506150484	0.00675919186324
112	-1.33933596658e-07	-0.120864570141	0.00679615186527
113	-1.04216418606e-07	-0.122223213315	0.00683312304318
114	-7.87725653595e-08	-0.123582057655	0.00687010399997
115	-5.71213973899e-08	-0.12494110316	0.00690709426999
116	-3.88248935224e-08	-0.126300320029	0.00694409245625
117	-2.34845067837e-08	-0.12765969336	0.00698109809309
118	-1.07385185188e-08	-0.129019245505	0.00701811118051
119	-2.60680033115e-10	-0.13037891686	0.00705513032153
120	8.24320256498e-09	-0.131738752127	0.00709215551615
121	1.50368322238e-08	-0.133098691702	0.00712918676436
122	2.0356106134e-08	-0.134458750486	0.00716622220352
123	2.44114310988e-08	-0.13581892848	0.00720326323062
124	2.7389518209e-08	-0.137179195881	0.00724030844867
125	2.94557516156e-08	-0.13853956759	0.00727735785767
126	3.07558849499e-08	-0.139900028706	0.00731441145763
127	3.14179793293e-08	-0.141260564327	0.00735146785155
128	3.15540980012e-08	-0.142621189356	0.00738852843642
129	3.12618517739e-08	-0.143981873989	0.0074255913496
130	3.06258947091e-08	-0.145342648029	0.00746265798807
131	2.97192972454e-08	-0.146703466773	0.00749972742051
132	2.86047932008e-08	-0.148064345121	0.00753679918125
133	2.73358935488e-08	-0.149425283074	0.0075738732703
134	2.59580108519e-08	-0.150786265731	0.00761094968766
135	2.45093279005e-08	-0.152147293091	0.00764802843332
136	2.30217480635e-08	-0.153508380055	0.00768510950729
137	2.1521646687e-08	-0.154869496822	0.00772219197825
138	2.00305318998e-08	-0.156230658293	0.00775927631184
139	1.85657818008e-08	-0.157591849566	0.00779636250809
140	1.71410992067e-08	-0.158953085542	0.00783345010132
141	1.57671227186e-08	-0.160314336419	0.00787054002285
142	1.44518317313e-08	-0.161675632	0.00790762994438
143	1.32009052578e-08	-0.163036942482	0.00794472172856
144	1.20181766761e-08	-0.164398282766	0.00798181537539
145	1.09058326814e-08	-0.165759652853	0.00801890995353
146	9.8647801039e-09	-0.167121052742	0.008056005463
147	8.89484130795e-09	-0.168482452631	0.0080931019038
148	7.99493626857e-09	-0.169843882322	0.00813019927591
149	7.16332637651e-09	-0.171205312014	0.00816729757935
150	6.39769703881e-09	-0.172566786408	0.00820439681411
151	5.69535130168e-09	-0.173928275704	0.00824149698019
152	5.05328978662e-09	-0.175289765	0.0082785980776
153	4.46829506728e-09	-0.176651269197	0.00831570010632
154	3.93704846502e-09	-0.178012788296	0.00835280213505
155	3.45615291941e-09	-0.179374322295	0.0083899050951
156	3.02222469273e-09	-0.180735871196	0.00842700805515
157	2.63191890504e-09	-0.182097420096	0.00846411194652
158	2.28195506935e-09	-0.183458983898	0.00850121676922
159	1.96917016027e-09	-0.1848205477	0.00853832159191
160	1.69051606047e-09	-0.186182141304	0.00857542734593
161	1.44309042494e-09	-0.187543734908	0.00861253403127
162	1.22413845727e-09	-0.188905343413	0.00864963978529
163	1.03106845284e-09	-0.190266922116	0.00868674647063
164	8.61437199351e-10	-0.191628530622	0.00872385408729
165	7.12973735606e-10	-0.192990154028	0.00876096170396
166	5.83563697365e-10	-0.194351792336	0.00879806932062
167	4.71251482281e-10	-0.195713415742	0.00883517693728
168	3.74232506095e-10	-0.197075039148	0.00887228548527
169	2.90844182071e-10	-0.198436677456	0.00890939403325
170	2.19569348814e-10	-0.199798315763	0.00894650258124
171	1.59024321489e-10	-0.201159968972	0.00898361206055
172	1.07946304673e-10	-0.202521622181	0.00902072153986
173	6.51934409235e-11	-0.203883260489	0.00905783008784
174	2.97318142328e-11	-0.205244928598	0.00909494049847
175	6.32815902544e-13	-0.206606581807	0.00913204997778
176	-2.29385867939e-11	-0.207968249917	0.00916916038841
177	-4.17311914191e-11	-0.209329932928	0.00920627079904
178	-5.64108967871e-11	-0.210691571236	0.00924338027835
179	-6.75716912979e-11	-0.212053254247	0.00928049068898
180	-7.57390053452e-11	-0.213414922357	0.00931760203093
181	-8.13758227469e-11	-0.214776605368	0.00935471244156
182	-8.48924333607e-11	-0.216138288379	0.00939182378352
183	-8.66457669502e-11	-0.217499941587	0.00942893419415
184	-8.69492047806e-11	-0.2188616395	0.00946604460478
185	-8.60745225095e-11	-0.220223322511	0.00950315594673
186	-8.42573233406e-11	-0.221585005522	0.00954026728868
187	-8.17001674647e-11	-0.222946703434	0.00957737863064
188	-7.8576221918e-11	-0.224308371544	0.00961448997259
189	-7.50348047585e-11	-0.225670054555	0.00965160131454
190	-7.11999625924e-11	-0.227031752467	0.0096887126565
191	-6.71777355965e-11	-0.228393450379	0.00972582492977
192	-6.30552554615e-11	-0.229755148292	0.00976293627173
193	-5.89050544453e-11	-0.231116816401	0.00980004761368
194	-5.47857349764e-11	-0.232478514314	0.00983715895563
195	-5.07444364306e-11	-0.233840212226	0.00987427122891
196	-4.68192706826e-11	-0.235201910138	0.00991138350219
197	-4.30374763605e-11	-0.236563622952	0.00994849484414
198	-3.94224583533e-11	-0.237925291061	0.00998560618609
199	-3.59872062705e-11	-0.239286988974	0.0100227184594
200	-3.27424962143e-11	-0.240648701787	0.0100598307326
201	-2.9694555842e-11	-0.242010399699	0.0100969430059
202	-2.68451719188e-11	-0.243372112513	0.0101340552792
203	-2.41925941086e-11	-0.244733780622	0.0101711666211
204	-2.1734629721e-11	-0.246095493436	0.0102082788944
205	-1.94650077306e-11	-0.247457206249	0.0102453911677
206	-1.73786054991e-11	-0.248818904161	0.010282503441
207	-1.54661890933e-11	-0.250180602074	0.0103196157143
208	-1.37194240343e-11	-0.251542299986	0.0103567270562
209	-1.21302967671e-11	-0.252903997898	0.0103938393295
210	-1.06891015136e-11	-0.254265725613	0.0104309525341
211	-9.3853536054e-12	-0.255627423525	0.0104680648074
212	-8.2107749419e-12	-0.256989121437	0.0105051770806
213	-7.15559599421e-12	-0.258350819349	0.0105422884226
214	-6.21022417518e-12	-0.259712517262	0.0105794016272
215	-5.36765120199e-12	-0.261074244976	0.0106165139005
216	-4.61761228213e-12	-0.262435942888	0.0106536261737
217	-3.95271359047e-12	-0.263797670603	0.0106907393783
218	-3.3659845744e-12	-0.265159338713	0.0107278507203
219	-2.84896086757e-12	-0.266521066427	0.0107649629936
220	-2.39609894426e-12	-0.267882764339	0.0108020761982
221	-2.00030248441e-12	-0.269244492054	0.0108391884714
222	-1.65701057476e-12	-0.270606189966	0.010876301676
223	-1.35924973534e-12	-0.271967887878	0.010913413018
224	-1.10375662603e-12	-0.273329585791	0.0109505262226
225	-8.83712645162e-13	-0.274691313505	0.0109876384959
226	-6.97420040555e-13	-0.276053011417	0.0110247517005
227	-5.39895927444e-13	-0.277414739132	0.0110618639737
228	-4.07667524955e-13	-0.278776437044	0.011098976247
229	-2.98961701749e-13	-0.280138134956	0.0111360885203
230	-2.07863538665e-13	-0.281499862671	0.0111732017249
231	-1.35286218534e-13	-0.282861560583	0.0112103139982
232	-7.61143399827e-14	-0.284223288298	0.0112474272028
233	-3.12769084178e-14	-0.28558498621	0.011284539476
234	3.64624305684e-15	-0.286946684122	0.0113216517493
235	2.80533043085e-14	-0.288308411837	0.0113587649539
236	4.66478628457e-14	-0.289670109749	0.0113958772272
237	5.68358192812e-14	-0.291031837463	0.0114329904318
238	6.19875854748e-14	-0.292393535376	0.0114701027051
239	6.22249308828e-14	-0.293755233288	0.0115072149783
240	5.87619823677e-14	-0.295116961002	0.0115443281829
241	5.24637265868e-14	-0.296478688717	0.0115814413875
242	4.38203482831e-14	-0.297840386629	0.0116185536608
243	3.26536859347e-14	-0.299202084541	0.0116556659341
244	2.10791077654e-14	-0.300563812256	0.0116927791387
245	6.97724416763e-15	-0.301925510168	0.0117298923433
246	-5.84398481145e-15	-0.303287237883	0.0117670046166
247	-2.09106989807e-14	-0.304648965597	0.0118041178212
248	-3.45796897789e-14	-0.306010633707	0.0118412300944
249	-4.95023333848e-14	-0.307372361422	0.011878343299
250	-6.31850393404e-14	-0.308734089136	0.0119154555723
251	-7.72001752347e-14	-0.310095816851	0.0119525687769
252	-9.09014955864e-14	-0.311457514763	0.0119896819815
253	-1.03484285214e-13	-0.312819212675	0.0120267942548
254	-1.16460741875e-13	-0.31418094039	0.0120639065281
255	-1.28039899104e-13	-0.315542638302	0.0121010197327
256	-1.39666313996e-13	-0.316904366016	0.0121381329373
257	-1.50194188141e-13	-0.318266093731	0.0121752461419
258	-1.6056532731e-13	-0.319627791643	0.0122123584151
259	-1.71938974018e-13	-0.320989489555	0.0122494716197
260	-1.80171456639e-13	-0.32235121727	0.012286583893
261	-1.89352887211e-13	-0.323712944984	0.0123236970976
262	-1.96233803404e-13	-0.325074672699	0.0123608103022
263	-2.04393183693e-13	-0.326436370611	0.0123979225755
264	-2.122552893e-13	-0.327798068523	0.0124350357801
265	-2.17900458961e-13	-0.329159796238	0.0124721489847
266	-2.25462877534e-13	-0.330521523952	0.0125092621893
267	-2.30752266253e-13	-0.331883251667	0.0125463753939
268	-2.36131182966e-13	-0.333244949579	0.0125834876671
269	-2.42057838617e-13	-0.334606647491	0.0126206008717
270	-2.46994888735e-13	-0.335968375206	0.012657713145
